Well	Row	Column	Timepoint	Compound	Conc	Non-border cells - Number of Objects	Non-border cells - Total Spot Area - Mean per Well	Non-border cells - Relative Spot Intensity - Mean per Well	Non-border cells - Number of Spots - Mean per Well	Non-border cells - Number of Spots per Area of Cytoplasm - Mean per Well	Non-border cells - Intensity Nucleus HOECHST 33342 Mean - Mean per Well	Non-border cells - Nucleus Area [µm²] - Mean per Well	Non-border cells - Nucleus Roundness - Mean per Well	Non-border cells - Nucleus Symmetry 02  - Mean per Well	Non-border cells - Nucleus Symmetry 03  - Mean per Well	Non-border cells - Nucleus Symmetry 04  - Mean per Well	Non-border cells - Nucleus Symmetry 05  - Mean per Well	Non-border cells - Nucleus Symmetry 12  - Mean per Well	Non-border cells - Nucleus Symmetry 13  - Mean per Well	Non-border cells - Nucleus Symmetry 14  - Mean per Well	Non-border cells - Nucleus Symmetry 15  - Mean per Well	Non-border cells - Nucleus Threshold Compactness 30%  - Mean per Well	Non-border cells - Nucleus Threshold Compactness 40%  - Mean per Well	Non-border cells - Nucleus Threshold Compactness 50%  - Mean per Well	Non-border cells - Nucleus Threshold Compactness 60%  - Mean per Well	Non-border cells - Nucleus Axial Small Length  - Mean per Well	Non-border cells - Nucleus Axial Length Ratio  - Mean per Well	Non-border cells - Nucleus Radial Mean  - Mean per Well	Non-border cells - Nucleus Radial Relative Deviation  - Mean per Well	Non-border cells - Nucleus Profile 1/2  - Mean per Well	Non-border cells - Nucleus Profile 2/2  - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Spot 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Hole 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Edge 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Ridge 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Valley 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Saddle 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Bright 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 SER Dark 2 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 Haralick Correlation 1 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 Haralick Contrast 1 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 Haralick Sum Variance 1 px - Mean per Well	Non-border cells - Nucleus HOECHST 33342 Haralick Homogeneity 1 px - Mean per Well	Non-border cells - Intensity Spots MCTracker Deep Red Mean - Mean per Well	Non-border cells - Spots Area [µm²] - Mean per Well	Non-border cells - Spots Roundness - Mean per Well	Non-border cells - Spots Width [µm] - Mean per Well	Non-border cells - Spots Length [µm] - Mean per Well	Non-border cells - Spots Symmetry 02  - Mean per Well	Non-border cells - Spots Symmetry 03  - Mean per Well	Non-border cells - Spots Symmetry 04  - Mean per Well	Non-border cells - Spots Symmetry 05  - Mean per Well	Non-border cells - Spots Symmetry 12  - Mean per Well	Non-border cells - Spots Symmetry 13  - Mean per Well	Non-border cells - Spots Symmetry 14  - Mean per Well	Non-border cells - Spots Symmetry 15  - Mean per Well	Non-border cells - Spots Threshold Compactness 30%  - Mean per Well	Non-border cells - Spots Threshold Compactness 40%  - Mean per Well	Non-border cells - Spots Threshold Compactness 50%  - Mean per Well	Non-border cells - Spots Threshold Compactness 60%  - Mean per Well	Non-border cells - Spots Axial Small Length  - Mean per Well	Non-border cells - Spots Axial Length Ratio  - Mean per Well	Non-border cells - Spots Radial Mean  - Mean per Well	Non-border cells - Spots Radial Relative Deviation  - Mean per Well	Non-border cells - Spots Profile 1/5  - Mean per Well	Non-border cells - Spots Profile 2/5  - Mean per Well	Non-border cells - Spots Profile 3/5  - Mean per Well	Non-border cells - Spots Profile 4/5  - Mean per Well	Non-border cells - Spots Profile 5/5  - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Spot 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Hole 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Edge 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Ridge 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Valley 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Saddle 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Bright 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red SER Dark 1.8 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red Haralick Correlation 1 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red Haralick Contrast 1 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red Haralick Sum Variance 1 px - Mean per Well	Non-border cells - Spots MCTracker Deep Red Haralick Homogeneity 1 px - Mean per Well	Non-border cells - Intensity Cytoplasm Alexa 594 Mean - Mean per Well	Non-border cells - Intensity Cell Alexa 488 Mean - Mean per Well
B4	2	4	1	DMSO	0.2	817	1659.24	0.09	62.07	0.02	10720.41	137.46	0.97	0.13	0.03	0.03	0.02	0.19	0.05	0.04	0.02	1.12	1.11	1.08	0.99	6.45	0.78	6.94	0.4	0.93	1.19	0.02	0	0.13	0.02	0	0.01	0.03	0	0.85	0.01	0.04	0.48	11869.88	584.06	0.1	4.17	18.45	0.42	0.18	0.24	0.17	0.52	0.22	0.32	0.22	0.36	0.46	0.57	0.69	17.13	0.5	25.96	0.48	0.97	1.4	2.16	0.74	0.48	0.02	0	0.13	0.04	0.01	0.03	0.05	0.01	0.9	0.06	0.36	0.31	3687.46	365.18
B4	2	4	2	DMSO	0.2	793	1680.27	0.09	65.66	0.02	11184.03	134.12	0.97	0.13	0.04	0.03	0.02	0.19	0.05	0.04	0.02	1.12	1.11	1.07	0.98	6.35	0.78	6.83	0.4	0.93	1.19	0.02	0	0.13	0.02	0	0.01	0.03	0	0.85	0.01	0.04	0.47	12497.62	591.53	0.09	4.11	17.54	0.43	0.18	0.25	0.16	0.53	0.22	0.33	0.22	0.34	0.43	0.53	0.66	17.33	0.48	27.15	0.47	0.97	1.42	2.12	0.77	0.56	0.02	0	0.13	0.04	0.01	0.03	0.05	0.01	0.9	0.06	0.35	0.3	2754.45	394.12
B4	2	4	3	DMSO	0.2	785	1665.37	0.09	65.16	0.02	11001.54	132.62	0.97	0.13	0.04	0.03	0.02	0.19	0.05	0.04	0.02	1.12	1.11	1.06	0.98	6.32	0.78	6.78	0.4	0.93	1.2	0.02	0	0.13	0.02	0	0.01	0.03	0	0.85	0.01	0.05	0.46	13104.21	586.35	0.09	4.04	17.6	0.44	0.18	0.26	0.17	0.55	0.22	0.34	0.23	0.35	0.44	0.54	0.66	16.84	0.47	26.95	0.49	0.97	1.41	2.22	0.86	0.66	0.02	0	0.13	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.38	0.3	2790.68	425.48
B4	2	4	4	DMSO	0.2	780	1661.71	0.09	64.37	0.02	11269.35	131.9	0.97	0.13	0.04	0.03	0.02	0.19	0.05	0.04	0.02	1.12	1.1	1.06	0.98	6.31	0.79	6.76	0.4	0.93	1.2	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.01	0.05	0.46	13537.12	585.07	0.09	4.08	17.33	0.45	0.18	0.26	0.17	0.56	0.21	0.35	0.23	0.34	0.43	0.53	0.64	16.59	0.46	26.91	0.48	0.97	1.41	2.17	0.89	0.73	0.02	0	0.13	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.38	0.31	2612.69	459.56
B4	2	4	5	DMSO	0.2	774	1664.99	0.09	64.05	0.02	11562.08	131.05	0.97	0.13	0.04	0.03	0.02	0.18	0.05	0.04	0.02	1.12	1.1	1.06	0.97	6.28	0.79	6.72	0.4	0.93	1.2	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.45	13765.74	586.16	0.09	4.09	17.95	0.45	0.18	0.26	0.17	0.56	0.22	0.35	0.23	0.34	0.42	0.52	0.64	16.67	0.46	27.13	0.48	0.97	1.4	2.17	0.91	0.77	0.02	0	0.13	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.38	0.31	2524.28	494.85
B4	2	4	6	DMSO	0.2	775	1646.16	0.09	64.23	0.02	11785.29	129.28	0.97	0.13	0.04	0.03	0.02	0.19	0.05	0.04	0.02	1.12	1.1	1.06	0.97	6.22	0.79	6.67	0.4	0.93	1.2	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.45	13777.58	579.51	0.09	4.01	17.34	0.45	0.18	0.27	0.17	0.56	0.22	0.35	0.23	0.34	0.42	0.51	0.62	16.72	0.46	27.01	0.48	0.97	1.4	2.17	0.92	0.79	0.02	0	0.13	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.38	0.31	2431.75	524.2
B4	2	4	7	DMSO	0.2	773	1642.13	0.09	63.42	0.02	12304.57	127.41	0.97	0.13	0.04	0.03	0.02	0.18	0.05	0.04	0.02	1.11	1.1	1.05	0.98	6.18	0.79	6.61	0.4	0.93	1.21	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.44	13988.26	578.17	0.09	4.04	17.84	0.46	0.18	0.26	0.17	0.57	0.22	0.35	0.23	0.33	0.41	0.51	0.63	16.5	0.45	27.01	0.48	0.97	1.4	2.13	0.93	0.78	0.02	0	0.13	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.37	0.31	2336.35	562.01
B4	2	4	8	DMSO	0.2	770	1612.98	0.09	61.42	0.02	11894.97	125.72	0.97	0.13	0.04	0.03	0.02	0.18	0.05	0.04	0.02	1.11	1.1	1.05	0.98	6.14	0.79	6.55	0.4	0.93	1.21	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.05	0.44	13558.47	567.94	0.09	4.04	17.57	0.46	0.18	0.27	0.18	0.57	0.22	0.36	0.23	0.35	0.43	0.52	0.64	16.3	0.46	26.71	0.49	0.97	1.39	2.24	0.97	0.8	0.02	0	0.13	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.39	0.32	2374.22	583.41
B4	2	4	9	DMSO	0.2	773	1583.15	0.09	60.8	0.02	12290.21	123.43	0.97	0.13	0.04	0.03	0.02	0.18	0.06	0.04	0.03	1.12	1.1	1.05	0.97	6.08	0.79	6.49	0.4	0.93	1.21	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.06	0.43	13588.71	557.35	0.1	3.97	17.98	0.46	0.18	0.28	0.17	0.57	0.22	0.37	0.22	0.35	0.43	0.52	0.64	16	0.45	26.69	0.49	0.97	1.38	2.21	0.97	0.8	0.02	0	0.13	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.38	0.32	2291.15	614.82
B4	2	4	10	DMSO	0.2	776	1576.03	0.08	60.77	0.02	12394.72	122.46	0.96	0.13	0.04	0.03	0.02	0.19	0.06	0.04	0.03	1.11	1.09	1.05	0.97	6.04	0.79	6.46	0.4	0.93	1.22	0.02	0	0.14	0.02	0	0.01	0.03	0	0.85	0.02	0.06	0.43	13675.69	554.89	0.1	3.98	17.52	0.46	0.18	0.27	0.17	0.57	0.22	0.36	0.22	0.35	0.43	0.52	0.64	15.97	0.46	26.39	0.49	0.97	1.38	2.24	0.98	0.79	0.02	0	0.13	0.04	0.01	0.03	0.05	0.01	0.9	0.07	0.39	0.32	2245.25	646.56
